simulation_id,global_seed,policy,unix_timestamp_ms,STA_ID,trafficType,UL_OFDMA_enabled,distance_m,packet_periodicity_s,payload_size,num_antennas_mimo_STA,num_antennas_mimo_AP,frequency_band_GHz,AP_channel_number,STA_channel_number,txpower_dBm,ACK_seq_type,guard_interval,mcs,channel_width_MHz_STA,channel_width_MHz_AP,num_STAs_total,avg_lat_ms,max_lat_ms,min_lat_ms,stddev_lat_ms,pktloss_perc,throughput_Mbps,avg_snr_dB,max_snr_dB,min_snr_dB,avg_rssi_dB,max_rssi_dB,min_rssi_dB,most_used_MCS,MCS0,MCS1,MCS2,MCS3,MCS4,MCS5,MCS6,MCS7,MCS8,MCS9,MCS10,MCS11,MCS_unavailable_count,latency_distr_ms_0.0-0.1,latency_distr_ms_0.1-0.2,latency_distr_ms_0.2-0.3,latency_distr_ms_0.3-0.4,latency_distr_ms_0.4-0.5,latency_distr_ms_0.5-0.6,latency_distr_ms_0.6-0.7,latency_distr_ms_0.7-0.8,latency_distr_ms_0.8-0.9,latency_distr_ms_0.9-1.0,latency_distr_ms_1-2,latency_distr_ms_2-3,latency_distr_ms_3-4,latency_distr_ms_4-5,latency_distr_ms_5-6,latency_distr_ms_6-7,latency_distr_ms_7-8,latency_distr_ms_8-9,latency_distr_ms_9-10,latency_distr_ms_10-11,latency_distr_ms_11-12,latency_distr_ms_12-13,latency_distr_ms_13-14,latency_distr_ms_14-15,latency_distr_ms_15-16,latency_distr_ms_16-17,latency_distr_ms_17-18,latency_distr_ms_18-19,latency_distr_ms_19-20,latency_distr_ms_20-inf,rx_bytes_per_class,tx_bytes_per_class,t0,t1,twtDuration,last_trx,last_teff,last_AOI,t0>t1,effective_latency,energymodel_elapsed_time,energymodel_awake_elapsed_time,energymodel_avg_current_mA,energymodel_total_energy_J,deadline_ms,deadline_met,TX_energy_J,TX_energy_percentage,TX_time_ms,TX_time_percentage,RX_energy_J,RX_energy_percentage,RX_time_ms,RX_time_percentage,CCA_busy_energy_J,CCA_busy_energy_percentage,CCA_busy_time_ms,CCA_busy_time_percentage,SLEEP_energy_J,SLEEP_energy_percentage,SLEEP_time_ms,SLEEP_time_percentage,IDLE_energy_J,IDLE_energy_percentage,IDLE_time_ms,IDLE_time_percentage,desired_duration_ms,diff_duration_ms
1775576032,1,unset,1775576034062,1,DL,1,1,0.5,700,1,4,5,36,36,20,ACK-SU-FORMAT,800,4,20,20,1,1.03,1.03,1.03,0,0,5.46875e-07,67.234,67.234,67.234,-26.732,-26.732,-26.732,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,0.1000000000,0.1000000000,50.0000000000,1.0300000000,0.0000000000,0.9300000000,0,0.9300000000,7168.0000000000,3537.1000000000,151.2418600446,3.2523049584,0.0000000000,0,0.0004331262,0.0133175150,0.2600000000,0.0036272321,0.0234391632,0.7206938925,20.1160000000,0.2806361607,0.0010689840,0.0328685045,1.2120000000,0.0169084821,0.1266821010,3.8951482908,3630.9000000000,50.6542968750,3.1006815840,95.3379717973,3515.5120000000,49.0445312500,0.0000000000,0.9300000000
1775576281,1,unset,1775576282813,1,DL,1,1,0.5,700,1,4,5,36,36,20,ACK-SU-FORMAT,800,4,20,20,1,1.03,1.03,1.03,0,0,2.1875e-08,67.234,67.234,67.234,-26.732,-26.732,-26.732,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,0.1000000000,0.1000000000,50.0000000000,1.0300000000,0.0000000000,0.9300000000,0,0.9300000000,252928.0000000000,124809.1000000000,151.2296310919,114.7506243984,0.0000000000,0,0.0004331262,0.0003774500,0.2600000000,0.0001027961,0.8176394832,0.7125359775,701.7160000000,0.2774370572,0.0349377840,0.0304467049,39.6120000000,0.0156613740,4.4700684210,3.8954632660,128118.9000000000,50.6542968750,109.4275455840,95.3611766016,124067.5120000000,49.0525018978,0.0000000000,0.9300000000
1775577130,1,unset,1775577132454,1,DL,1,1,0.5,700,1,4,5,36,36,20,ACK-SU-FORMAT,800,4,20,20,1,1.03,1.03,1.03,0,0,2.1875e-08,67.234,67.234,67.234,-26.732,-26.732,-26.732,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,0.1000000000,0.1000000000,50.0000000000,1.0300000000,0.0000000000,0.9300000000,0,0.9300000000,252928.0000000000,124809.1000000000,151.2296310919,114.7506243984,0.0000000000,0,0.0004331262,0.0003774500,0.2600000000,0.0001027961,0.8176394832,0.7125359775,701.7160000000,0.2774370572,0.0349377840,0.0304467049,39.6120000000,0.0156613740,4.4700684210,3.8954632660,128118.9000000000,50.6542968750,109.4275455840,95.3611766016,124067.5120000000,49.0525018978,0.0000000000,0.9300000000
1775655904,1,unset,1775655907009,1,DL,1,1,0.5,700,1,4,5,36,36,20,AGGR-MU-BAR,800,4,20,20,1,0.991264,0.991264,0.991264,0,0,5.46875e-08,67.234,67.234,67.234,-26.732,-26.732,-26.732,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700,700,0.1000000000,0.1000000000,50.0000000000,0.9912640000,0.0000000000,0.8912640000,0,0.8912640000,99328.0000000000,49014.1000000000,151.5268349706,45.1525723919,0.0000000000,0,0.1812866369,0.4014979153,108.8240000000,0.1095602448,0.3348318720,0.7415565809,287.3600000000,0.2893041237,0.0274443120,0.0607812812,31.1160000000,0.0313265142,1.7554519710,3.8878227264,50313.9000000000,50.6542968750,42.8535576000,94.9083414962,48586.8000000000,48.9155122423,0.0000000000,0.8912640000
